product_id,category,metal,karat,gross_weight,stone_weight,price,image_file
GRGPL_1916,Finger Ring,Gold,22K,3.00 gm,NA,"31,537 ",GRGPL_1916.jpg
LRGPL_2567,Ladies Finger Ring,Gold,22K,2.00 gm,NA,"20,632 ",LRGPL_2567.jpg
LRGPL_2566,Ladies Finger Ring,Gold,22K,1.80 gm,NA,"18,569 ",LRGPL_2566.jpg
LRGPL_1397,Ladies Finger Ring,Gold,22K,1.50 gm,NA,"15,474 ",LRGPL_1397.jpg
GGRGPL_0443,Finger Ring,Gold,22K,9.00 gm,NA,"90,621 ",GGRGPL_0443.jpg
GRGPL_1955,Finger Ring,Gold,22K,7.50 gm,NA,"75,587 ",GRGPL_1955.jpg
GRGPL_1954,Finger Ring,Gold,22K,4.00 gm,NA,"40,276 ",GRGPL_1954.jpg
LRGST_2281,Finger Ring,Gold,22K,2.50 gm,0.01 gm,"39,800 ",LRGST_2281.jpg
LRGST_2281,Finger Ring,Gold,22K,2.50 gm,0.01 gm,"39,800 ",LRGST_2281_1.jpg
LRGST_2281,Finger Ring,Gold,22K,2.50 gm,0.01 gm,"39,800 ",LRGST_2281_2.jpg
LRGST_2280,Ladies Finger Ring,Gold,22K,3.00 gm,0.06 gm,"47,810 ",LRGST_2280.jpg
LRGST_2280,Ladies Finger Ring,Gold,22K,3.00 gm,0.06 gm,"47,810 ",LRGST_2280_1.jpg
LRGST_2280,Ladies Finger Ring,Gold,22K,3.00 gm,0.06 gm,"47,810 ",LRGST_2280_2.jpg
LSRGST_0936,Ladies Finger Ring,Gold,22K,2.00 gm,0.23 gm,"28,573 ",LSRGST_0936.jpg
LSRGST_0936,Ladies Finger Ring,Gold,22K,2.00 gm,0.23 gm,"28,573 ",LSRGST_0936_1.jpg
LSRGST_0936,Ladies Finger Ring,Gold,22K,2.00 gm,0.23 gm,"28,573 ",LSRGST_0936_2.jpg
LSRGST_0789,Ladies Finger Ring,Gold,22K,2.20 gm,0.07 gm,"34,194 ",LSRGST_0789.jpg
LSRGST_0789,Ladies Finger Ring,Gold,22K,2.20 gm,0.07 gm,"34,194 ",LSRGST_0789_1.jpg
LSRGST_0789,Ladies Finger Ring,Gold,22K,2.20 gm,0.07 gm,"34,194 ",LSRGST_0789_2.jpg
2331,Ladies Finger Ring,Gold,18K,2.37 gm,0.047 gm,"37,151 ",2331.jpg
2329,Ladies Finger Ring,Gold,18K,2.41 gm,0.028 gm,"38,505 ",2329.jpg
2350,Finger Ring,Gold,18K,1.70 gm,0.006 gm,"27,273 ",2350.jpg
2332,Ladies Finger Ring,Gold,18K,1.90 gm,0.019 gm,"30,210 ",2332.jpg
2336,Ladies Finger Ring,Gold,18K,2.06 gm,0.034 gm,"31,957 ",2336.jpg
2351,Ladies Finger Ring,Gold,18K,2.36 gm,0.028 gm,"37,283 ",2351.jpg
2330,Ladies Finger Ring,Gold,18K,1.93 gm,0.039 gm,"24,851 ",2330.jpg
2345,Ladies Finger Ring,Gold,18K,2.10 gm,0.04 gm,"27,946 ",2345.jpg
2343,Ladies Finger Ring,Gold,18K,2.60 gm,0.07 gm,"34,196 ",2343.jpg
LRS_1494,Ladies Finger Ring,Gold,22K,2.70 gm,0.03 gm,"46,593 ",LRS_1494_top_view.jpg
